geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.824126499051616,2.3528687999999987;"{""coordinates"": [2.3528688, 48.824126499051616], ""type"": ""Point""}";n9350719761;NON;0;;public;NON;NON;autres;75113;13e Arrondissement;2021-12;
48.77019769905126,1.9699764999999991;"{""coordinates"": [1.9699765, 48.77019769905126], ""type"": ""Point""}";n5664200261;NON;4;;public;NON;NON;arceaux;78208;Élancourt;2018-06;
48.88622919905202,2.2854325000000006;"{""coordinates"": [2.2854325, 48.88622919905202], ""type"": ""Point""}";n8643137776;NON;5;;public;NON;NON;autres;75117;17e Arrondissement;2021-04;
48.85276659905178,2.3350469;"{""coordinates"": [2.3350469, 48.85276659905178], ""type"": ""Point""}";n8354199445;NON;0;;public;NON;NON;autres;75106;6e Arrondissement;2021-01;
48.856865799051825,2.2203536000000006;"{""coordinates"": [2.2203536, 48.856865799051825], ""type"": ""Point""}";n7553580918;OUI;12;;public;NON;NON;arceaux;92064;Saint-Cloud;2020-05;
48.82559189905164,2.3382076999999994;"{""coordinates"": [2.3382077, 48.82559189905164], ""type"": ""Point""}";n8130489340;NON;8;;public;NON;NON;arceaux;75114;14e Arrondissement;2020-11;
48.83999559905171,2.3404909;"{""coordinates"": [2.3404909, 48.83999559905171], ""type"": ""Point""}";n7241759359;NON;6;;public;NON;NON;arceaux;75105;5e Arrondissement;2021-06;
48.81504099905155,2.2993370000000004;"{""coordinates"": [2.299337, 48.81504099905155], ""type"": ""Point""}";n5035230154;NON;4;;public;NON;NON;arceaux;92046;Malakoff;2019-04;
48.621689299050274,2.4412555;"{""coordinates"": [2.4412555, 48.621689299050274], ""type"": ""Point""}";n2229429666;NON;6;;public;NON;NON;arceaux;91228;Évry;2016-02;
48.89335139905207,2.409982199999999;"{""coordinates"": [2.4099822, 48.89335139905207], ""type"": ""Point""}";n6276338462;NON;8;;public;NON;NON;arceaux;93055;Pantin;2020-01;
48.827355499051635,2.267675199999999;"{""coordinates"": [2.2676752, 48.827355499051635], ""type"": ""Point""}";n8847680431;OUI;10;;public;NON;NON;arceaux;92040;Issy-les-Moulineaux;2021-06;
48.87733279905196,2.4459348;"{""coordinates"": [2.4459348, 48.87733279905196], ""type"": ""Point""}";n8328801762;NON;18;;public;NON;NON;arceaux;93063;Romainville;2021-01;
48.63003649905032,2.4463490999999995;"{""coordinates"": [2.4463491, 48.63003649905032], ""type"": ""Point""}";n2286603929;NON;24;;public;NON;NON;arceaux;91228;Évry;2016-02;
48.89260539905206,2.341563899999999;"{""coordinates"": [2.3415639, 48.89260539905206], ""type"": ""Point""}";n9253346555;NON;8;;public;NON;NON;arceaux;75118;18e Arrondissement;2021-11;
48.99478299905277,2.2898086000000006;"{""coordinates"": [2.2898086, 48.99478299905277], ""type"": ""Point""}";n9345947164;OUI;16;;public;NON;NON;arceaux;95203;Eaubonne;2021-12;
48.8355080990517,2.6269229000000007;"{""coordinates"": [2.6269229, 48.8355080990517], ""type"": ""Point""}";n7853682348;NON;4;;public;NON;NON;arceaux;77258;Lognes;2020-08;
48.84039979905172,2.287257399999999;"{""coordinates"": [2.2872574, 48.84039979905172], ""type"": ""Point""}";n8401689893;NON;8;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-07;
48.89004449905204,2.2965712999999996;"{""coordinates"": [2.2965713, 48.89004449905204], ""type"": ""Point""}";n5620640049;NON;6;;public;NON;NON;inconnu;75117;17e Arrondissement;2018-05;
48.90857239905219,2.2192805000000004;"{""coordinates"": [2.2192805, 48.90857239905219], ""type"": ""Point""}";n5425490042;NON;6;;public;NON;NON;arceaux;92050;Nanterre;2018-02;
48.829944499051635,2.3051719999999998;"{""coordinates"": [2.305172, 48.829944499051635], ""type"": ""Point""}";n5420767101;NON;10;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-05;
48.8392329990517,2.285762299999999;"{""coordinates"": [2.2857623, 48.8392329990517], ""type"": ""Point""}";n4348836988;NON;10;;public;NON;NON;arceaux;75115;15e Arrondissement;2018-05;
48.901039699052134,2.2255391999999996;"{""coordinates"": [2.2255392, 48.901039699052134], ""type"": ""Point""}";n3744616327;NON;4;;clientele;NON;NON;arceaux;92050;Nanterre;2015-09;
48.86382679905187,2.3510674999999996;"{""coordinates"": [2.3510675, 48.86382679905187], ""type"": ""Point""}";n7031582752;NON;12;;public;NON;NON;arceaux;75102;2e Arrondissement;2019-12;
48.86023829905186,2.3236108999999994;"{""coordinates"": [2.3236109, 48.86023829905186], ""type"": ""Point""}";n8463633270;NON;0;;public;NON;NON;autres;75107;7e Arrondissement;2021-02;
49.025840799052965,2.2265386;"{""coordinates"": [2.2265386, 49.025840799052965], ""type"": ""Point""}";n7896057579;NON;6;;public;NON;NON;arceaux;95607;Taverny;2021-11;
48.82696059905162,2.3652051999999992;"{""coordinates"": [2.3652052, 48.82696059905162], ""type"": ""Point""}";n7513749206;NON;2;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-07;
48.83013919905165,2.3580611;"{""coordinates"": [2.3580611, 48.83013919905165], ""type"": ""Point""}";n8175981169;NON;10;;public;NON;NON;arceaux;75113;13e Arrondissement;2021-04;
48.82886489905164,2.3365525999999996;"{""coordinates"": [2.3365526, 48.82886489905164], ""type"": ""Point""}";n7366067652;NON;18;;public;NON;NON;inconnu;75114;14e Arrondissement;2021-06;
48.85937099905183,2.4463657;"{""coordinates"": [2.4463657, 48.85937099905183], ""type"": ""Point""}";n7648880124;NON;8;;public;NON;NON;arceaux;93048;Montreuil;2020-06;
48.84364149905174,2.3228040999999995;"{""coordinates"": [2.3228041, 48.84364149905174], ""type"": ""Point""}";n8306380946;NON;48;;public;NON;NON;arceaux;75115;15e Arrondissement;2021-04;
48.85004809905179,2.3436935;"{""coordinates"": [2.3436935, 48.85004809905179], ""type"": ""Point""}";n8225023265;NON;8;;public;NON;NON;arceaux;75105;5e Arrondissement;2021-07;
48.88724249905203,2.3192944;"{""coordinates"": [2.3192944, 48.88724249905203], ""type"": ""Point""}";n5679768378;NON;12;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-06;
48.79964699905144,2.281226399999998;"{""coordinates"": [2.2812264, 48.79964699905144], ""type"": ""Point""}";n2915134564;NON;14;;public;NON;NON;arceaux;92020;Châtillon;2021-07;
48.80217509905147,2.1312255999999987;"{""coordinates"": [2.1312256, 48.80217509905147], ""type"": ""Point""}";n8564240451;NON;4;;public;NON;NON;arceaux;78646;Versailles;2021-12;
48.69812409905076,2.1819116000000003;"{""coordinates"": [2.1819116, 48.69812409905076], ""type"": ""Point""}";n6961481038;NON;30;;public;NON;NON;arceaux;91471;Orsay;2019-11;
48.882083299051985,2.3291573000000003;"{""coordinates"": [2.3291573, 48.882083299051985], ""type"": ""Point""}";n5625185255;NON;6;;public;NON;NON;arceaux;75109;9e Arrondissement;2020-11;
49.01109259905287,2.0505294;"{""coordinates"": [2.0505294, 49.01109259905287], ""type"": ""Point""}";n2457769801;NON;0;;public;NON;NON;ancrage;95323;Jouy-le-Moutier;2013-09;
48.78490089905135,2.3007962;"{""coordinates"": [2.3007962, 48.78490089905135], ""type"": ""Point""}";n4034543423;NON;8;Les Blagis / CSCB;public;NON;NON;arceaux;92071;Sceaux;2016-03;
48.79137329905137,2.3955586;"{""coordinates"": [2.3955586, 48.79137329905137], ""type"": ""Point""}";n8209138341;NON;4;;public;NON;NON;autres;94081;Vitry-sur-Seine;2021-03;
48.92238399905227,2.1781081999999996;"{""coordinates"": [2.1781082, 48.92238399905227], ""type"": ""Point""}";n8825175666;NON;20;;public;NON;NON;arceaux;78311;Houilles;2021-06;
48.81365519905153,2.3458224999999997;"{""coordinates"": [2.3458225, 48.81365519905153], ""type"": ""Point""}";n8852411809;NON;16;;public;NON;NON;arceaux;94037;Gentilly;2021-07;
48.87703399905196,2.468628099999999;"{""coordinates"": [2.4686281, 48.87703399905196], ""type"": ""Point""}";n8424591602;NON;4;;public;NON;NON;arceaux;93064;Rosny-sous-Bois;2021-02;
48.83767959905169,2.2320853000000005;"{""coordinates"": [2.2320853, 48.83767959905169], ""type"": ""Point""}";n1677008818;NON;10;;public;NON;NON;arceaux;92012;Boulogne-Billancourt;2020-04;
48.80280759905146,2.1235922999999994;"{""coordinates"": [2.1235923, 48.80280759905146], ""type"": ""Point""}";n1457662939;NON;2;;public;NON;NON;arceaux;78646;Versailles;2020-01;
