ID_station;station_name;month;value;type
13041;Porte d'Ivry;Janvier;1618;departure
13043;Dunois - Clisson;Janvier;1936;departure
13044;Place Jeanne d'Arc;Janvier;1856;departure
13045;Jean Colly - Tolbiac;Janvier;2826;departure
13046;Eugène Oudiné - Dessous Des Berges;Janvier;1286;departure
13047;Boutroux - Porte de Vitry;Janvier;911;departure
13048;Wurtz - Tolbiac;Janvier;2322;departure
13049;Vincent Auriol - Louise Weiss;Janvier;889;departure
13050;Quai Panhard et Levassor;Janvier;1596;departure
13051;Halle Freyssinet - Parvis Alan Turing;Janvier;652;departure
13052;Leredde - Tolbiac;Janvier;1914;departure
13053;Chevaleret - Tolbiac;Janvier;1778;departure
13054;Pau Casals - Neuve Tolbiac;Janvier;3923;departure
13055;M.- A. Lagroua Weill-Hallé -  F. Dolto;Janvier;2580;departure
13101;Croulebarde - Corvisart;Janvier;1997;departure
13102;Pitié-Salpêtrière;Janvier;972;departure
13103;Hôpital Pitié Salpêtrière;Janvier;2348;departure
13104;Gare d'Austerlitz - Quai Saint-Bernard;Janvier;1442;departure
13106;Bobillot - Paulin Mery;Janvier;3047;departure
13109;Brillat-Savarin - Küss;Janvier;886;departure
13110;Moulin de la Pointe;Janvier;727;departure
13113;Vistule - Choisy;Janvier;2205;departure
13114;Nationale - Marcel Duchamp;Janvier;1128;departure
13116;Place du Docteur Yersin;Janvier;796;departure
13117;Stade Georges Carpentier;Janvier;1652;departure
13118;Regnault - Patay;Janvier;1958;departure
13120;Pierre Joseph Desault;Janvier;996;departure
13121;Bruneseau - Quai d'Ivry;Janvier;1400;departure
13122;Parc de Choisy;Janvier;2107;departure
13123;BNF - Bibliothèque Nationale de France;Janvier;1886;departure
13125;Gare d'Austerlitz - Pont Charles de Gaulle;Janvier;2812;departure
13126;Place Nationale - Château-des-Rentiers;Janvier;1354;departure
13128;Quai de la Gare - Pont de Bercy;Janvier;;departure
13515;Auguste Blanqui - Glacière;Janvier;2589;departure
