Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
11113;Richard Lenoir - Republique;OUI;58;32;24;23;1;OUI;OUI;2022-03-05T14:43:06+01:00;48.8667175,2.3692541;Paris;
12111;Claude Decaen - Cannebière;OUI;27;25;2;1;1;OUI;OUI;2022-03-05T14:42:38+01:00;48.83761417037952,2.397253782195704;Paris;
10016;Récollets - Square Villemin;OUI;17;4;13;6;7;OUI;OUI;2022-03-05T14:43:02+01:00;48.875034655883944,2.359801238597928;Paris;
19043;Delphine Seyrig - Général Leclerc;OUI;53;38;13;6;7;OUI;OUI;2022-03-05T14:39:34+01:00;48.893923963057865,2.39790290594101;Pantin;
33017;Anatole France - President Roosevelt;OUI;29;24;5;1;4;OUI;OUI;2022-03-05T14:35:57+01:00;48.9155156,2.3814103;Aubervilliers;
14020;Cimetière de Montrouge;OUI;58;58;0;0;0;OUI;OUI;2022-03-05T14:39:51+01:00;48.822009,2.322188699;Paris;
20112;Jourdain - Place des Grandes Rigoles;OUI;22;22;0;0;0;OUI;OUI;2022-03-05T14:40:58+01:00;48.87403113727167,2.38959476351738;Paris;
15067;Desaix - Edgar Faure;OUI;12;10;2;1;1;OUI;OUI;2022-03-05T14:41:37+01:00;48.852804604940296,2.293077029857222;Paris;
8045;Place de la Reine Astrid;OUI;58;25;32;28;4;OUI;OUI;2022-03-05T14:42:06+01:00;48.86492098253841,2.302549182385926;Paris;
26002;Redoute - Les Courtilles;OUI;32;13;19;14;5;OUI;OUI;2022-03-05T14:39:21+01:00;48.92986719451888,2.283669635653496;Asnières-sur-Seine;
21312;Lucie Aubrac - Fort;OUI;30;27;2;0;2;OUI;OUI;2022-03-05T14:43:13+01:00;48.818144834008976,2.271184623241425;Issy-les-Moulineaux;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;13;6;6;0;OUI;OUI;2022-03-05T14:42:31+01:00;48.84479928858768,2.329337755887181;Paris;
18011;Pajol - Place Herbert;OUI;39;36;3;1;2;OUI;OUI;2022-03-05T14:42:55+01:00;48.8927825,2.3635598;Paris;
12128;Pyramide - Ecole du Breuil;OUI;34;19;15;9;6;OUI;OUI;2022-03-05T14:42:13+01:00;48.82237977153955,2.4586871266365056;Paris;
5004;Saint-Jacques - Val de Grâce;OUI;20;16;2;0;2;OUI;OUI;2022-03-05T14:43:13+01:00;48.8417514,2.3413893;Paris;
8010;Liège - Moscou;OUI;17;15;2;0;2;OUI;OUI;2022-03-05T14:39:28+01:00;48.8795431,2.3264628;Paris;
19103;Manin - Carrières d'Amérique;OUI;20;19;1;0;1;OUI;OUI;2022-03-05T14:40:16+01:00;48.88467214209463,2.3919698596000676;Paris;
