Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
21115;Chancé Milly - Cimetière Communal Sud;32;48.89687189382465,2.303922325372696
10012;Vinaigriers - Magenta;25;48.8731167,2.3593052
21702;Gare SNCF Vanves-Malakoff;51;48.819002163836444,2.292150005103606
10018;Square Alban Satragne;30;48.875388227727306,2.355956733335916
10114_relais;Granges aux Belles - Hôpital Saint-Louis;0;48.87472,2.3652844
44016;Balzac - Olympes de Gouges;28;48.77850332486751,2.4006786569952965
17123;Mstislav Rostropovitch - Berthier;18;48.892120821173975,2.309234105050564
41211;Louis Xavier de Ricard - Ancienne Mairie;34;48.84629899065091,2.472420372068882
12101;Charenton - Prague;26;48.848175129981016,2.376358449431232
20022;Porte de Bagnolet;33;48.864707139122984,2.408344637349607
17019;Phalsbourg - Villiers;20;48.88242307900951,2.3090453445911407
4108;Quai de Béthune - Pont de la Tournelle;25;48.85097433194032,2.356307208538055
15111;Olivier de Serres - Leriche;25;48.83460221715206,2.2957482933998112
14022;Didot - Mariniers;35;48.82650543613106,2.313136198271666
19012;Lally-Tollendal - Armand Carrel;28;48.88270066221072,2.374717555940151
18015;Custine - Ramey;41;48.888735896947054,2.3469526693224907
32019;Place du 8 mai 1945;30;48.938882272105374,2.3566243797540665
17021;Jouffroy d'Abbans - Villiers;34;48.88421554703737,2.3056533560156827
6026;Saint-Placide - Cherche Midi;66;48.8490535919234,2.325317971408367
5003;Le Goff - Gay-Lussac;35;48.8461024009786,2.3412207886576653
11022;Roquette - Auguste Laurent;16;48.858001906023354,2.381797702650783
20012;Buzenval - Vignoles;17;48.85385817168762,2.400004081428051
14009;Tombe Issoire - René Coty;36;48.83051287670899,2.3343613743782043
16116;George Sand - Jean de La Fontaine;29;48.84986918764119,2.268257387525699
18101;Championnet.;22;48.8953643,2.3498166
11029;Ménilmontant - Oberkampf;40;48.8666176586814,2.38301344041578
15114;Pasteur - Cotentin;33;48.8389284,2.316356
14025;Jacquier - Didot;30;48.82953336292279,2.318179272115231
8003;Galilée - Vernet;17;48.87171587869726,2.2985444962978363
12165;Champs de Manoeuvre - Cartoucherie;20;48.835261,2.447974
23201;Avenir;45;48.8103438,2.3003776
8026;Messine - Place Du Pérou;12;48.875448033960744,2.315508019010038
7003;Square Boucicaut;60;48.851296433665276,2.325061820447445
7002;Vaneau - Sèvres;35;48.84856323305935,2.3204218259345537
14108;Le Brix et Mesmin - Jourdan;21;48.82234096593411,2.327861653302471
31024;Romainville - Vaillant-Couturier;38;48.86785,2.446748
19033;Cambrai - Benjamin Constant;43;48.89594736851349,2.381133802246315
16118;Michel-Ange - Parent de Rosan;26;48.840579923690115,2.2584119439125065
12031;Gabriel Lamé;36;48.8351212784276,2.385534569621086
9014;Faubourg Montmartre - La Fayette;35;48.87525454905335,2.340853661298752
9001;Bellefond - Poissonnière;17;48.87759897050706,2.348463758826256
31706;Château - République;26;48.8629238005955,2.415503561496735
45003;11 Novembre 1918 - 8 Mai 1945;36;48.80889533774377,2.5382421165704727
41302;Charles de Gaulle - Beauté;49;48.83649602312711,2.479562651149885
5004;Saint-Jacques - Val de Grâce;20;48.8417514,2.3413893
42021;Raspail - Manufacture des Oeillets;32;48.8094458,2.3903009
5012;Estrapade - Ulm;16;48.84512772828039,2.3454568170361734
7102;Mairie du 7ème;27;48.8577967,2.3192664
11004;Charonne - Faubourg Saint-Antoine;34;48.85219190969573,2.3740932717919354
18201;Tristan Tzara -  Tchaïkovski;33;48.89490221746837,2.3648490384221077
11009;Boulets - Voltaire;24;48.85218705621031,2.389030158519745
42029;Stalingrad - Germaine Tailleferre;28;48.80257200481316,2.3786691203713417
6013;Jacques Callot - Mazarine;28;48.85528017533187,2.337574325501919
41102;Gare de Laplace;43;48.80893199114179,2.3349460959434514
14034;Ouest - Château;23;48.83617286014242,2.319392143923804
12029;Dugommier;55;48.8388110488154,2.38965779542923
5119;Jussieu - Guy de la Brosse;40;48.845665,2.355653
14104;Boyer-Barret - Raymond Losserand;23;48.83329880233322,2.3173383995890617
20113;Piat - Parc de Belleville;21;48.87195626635528,2.384981390278095
15017;Place Falguière;23;48.83629973941847,2.3104464635252953
92004;Nanterre - Université;20;48.901365,2.212693
19038;Lassus - Delouvain;20;48.87550448459959,2.3890327325518528
20118;Orteaux - Mouraud;24;48.85558642847872,2.408762907764669
11041;Square Saint-Ambroise;43;48.860934,2.375841
18043;Clichy - Place Blanche;20;48.883601088297006,2.333223782479763
42703;Fontainebleau - Edmond Michelet;45;48.80956436844049,2.3626908659935
10114;Granges aux Belles - Hôpital Saint-Louis;60;48.874794994841274,2.366669436984963
4013;Vieille du Temple - Francs Bourgeois;29;48.858256413365815,2.35821794718504
13114;Nationale - Marcel Duchamp;23;48.82463749337136,2.3678014799952507
14007;Ferrus - Saint-Jacques;34;48.8313878,2.3408563
19030;Melun - Jean Jaurès;28;48.8837796723475,2.376477420330048
18035;René Binet - Porte de Montmartre;37;48.89905109950848,2.3365534096956253
10039;Sambre et Meuse - Villette;25;48.87440566621717,2.373807237995119
33104;Square Edmond Pépin;30;48.88365620689917,2.4033531546592717
13010;Place d'Italie - Vincent Auriol;40;48.83148187446674,2.356755029231863
10152;Gare du Nord - Place de Valenciennes;25;48.879089,2.354235
16009;Saint-Didier - Raymond Poincaré;17;48.86642312020962,2.285863497192411
21213;Vanne - Général de Gaulle;25;48.815007,2.328318
8020;Batignolles - Beudant;44;48.88216401466375,2.319852970540523
15023;La Motte-Picquet - Grenelle;34;48.84858321339195,2.299347817897797
17003;Jacques Kellner - Saint-Ouen;45;48.895809485802886,2.327897409164145
9114;Faubourg Poissonnière - Dunkerque;30;48.880883445404436,2.349934279918671
15022;Emile Zola - Fondary;42;48.847051143113745,2.2953405976295476
12026;Place Ginette Hamelin;51;48.837853,2.382064
27005;Gare du Stade;20;48.9312676,2.2603778
21314;Chemin de Bretagne;29;48.825147,2.25936
22201;Henri Ravera - Gabriel Péri;30;48.79722273833844,2.302115857601166
22301;Chausson - Gabriel Péri;22;48.921891003481115,2.2952306270599365
15132;Bargue -  Dutot;21;48.837884,2.308876
16103;Traktir - Foch;22;48.87275533461363,2.2915497802487077
2003;Saint-Denis - Réaumur;32;48.8661116315789,2.3507790675507594
1102;Française - Etienne Marcel;37;48.864053304653766,2.347587011754513
21507;Gardenat-Lapostol - Velettes;20;48.87387,2.224185
14023;Adolphe Pinard - Victor Hugo;52;48.8236825874564,2.3077843710780144
14133;Froidevaux - Boulard;35;48.83514731962543,2.3294411972165108
4017;Place de l'Hôtel de Ville;14;48.8573314,2.351458
2016;Aboukir - Alexandrie;21;48.86868344444473,2.3502043269474897
12164;Stade Pershing;26;48.829107826857424,2.458353526890278
1013;Place du Palais Royal;67;48.862382970646635,2.33848225325346
19046;Porte de Pantin.;33;48.889199725577164,2.3950181901454926
13028;Gouthière - Poterne des Peupliers;33;48.820507,2.351342
19119;Edouard Pailleron - Bouret;27;48.880597694070524,2.3769494891166687
14005;René Coty - Place Denfert-Rochereau;36;48.83305647731638,2.332941144704819
43004;Montreuil - République;25;48.85026349463687,2.4345204234123234
13055;M.- A. Lagroua Weill-Hallé -  F. Dolto;60;48.828595283857425,2.380220606266108
22014;Victor Hugo - Bineau;25;48.88758225888669,2.2783890366554265
19123;Metz - Marne;33;48.891163,2.3865705
34012;Bateliers - Quai de Seine;26;48.915817585516,2.3239533298594055
23204;Roland Garros - Jean Bouin;0;48.8094608571735,2.2853198638300847
15056;Place Balard;22;48.836395736424116,2.2784192115068436
13123;BNF - Bibliothèque Nationale de France;42;48.8350268238,2.3760157451034
41301;Bois de Vincennes - Gare;50;48.836022242886884,2.4708339950830287
15047;Morillons - Dantzig;52;48.83310149953933,2.299380004405976
17032;Jean Oestreicher - Porte de Champerret;21;48.88655580065981,2.288640439510346
8016;Square Louis XVI;29;48.87320440102894,2.323658830743138
18011;Pajol - Place Herbert;39;48.8927825,2.3635598
19103;Manin - Carrières d'Amérique;20;48.88467214209463,2.3919698596000676
15105;Fédération - Suffren;25;48.852828153442346,2.2978776320815086
35002;Jean Jaurès - Presles;30;48.90713441498779,2.396005728053061
9116;Victoire - Chaussée d'Antin;24;48.875065791004396,2.3316738009452824
20134;Lieutenant Chauré - Etienne Marey;20;48.86746195408435,2.405970990657807
12024;Gare de Bercy;35;48.839794573906,2.3826066032052
20021;Indre - Prairies;38;48.86254398506782,2.403290458023548
20116;Haies - Réunion;22;48.85386896766491,2.402426162238911
12004;Traversière - Ledru-Rollin;34;48.850735824128805,2.375870111706245
45001;Hôtel de Ville de Champigny sur Marne;21;48.813810628405,2.5096759200096
13041;Porte d'Ivry;50;48.82176874759649,2.3688706755638127
18042;Place Pigalle;21;48.8827555,2.3361566
20019;Place du Maquis du Vercors;31;48.877321579493575,2.4083782732486725
15063;Convention - Saint-Charles;19;48.84315611111599,2.2831090539693832
11003;Keller - La Roquette;34;48.8555508,2.3752778
47002;Les Juilliottes;21;48.8043072,2.4437362
11107;Faidherbe - Dahomey;44;48.851358329771806,2.383823134795429
11110;Roquette - Folie Regnault;52;48.859246959155485,2.386553623578705
12127;Tremblay - Lac des Minimes;48;48.834131261494356,2.454751655459404
20002;Square de la rue Pixérécourt;15;48.8736824,2.3960278
5029;Georges Bernanos - Port Royal;30;48.84014521347377,2.3373574018478394
9036;Athènes - Clichy;20;48.878113787876,2.32956021945824
31025;Paul Signac - Aristide Briand;35;48.86950262156371,2.4502260982990265
4003;Quai aux Fleurs - Pont Saint-Louis;21;48.85291595620935,2.352195717394352
21217;Louis Rolland - République;26;48.81710889740748,2.3193106434955717
16002;Pergolèse - Malakoff;38;48.87521088779225,2.2842781618237495
23010;Voltaire - Anatole France;27;48.891999360256904,2.284262739121914
11017;Charonne - Bureau;47;48.854176,2.396093
15011;Cambronne - Villa Croix Nivert;62;48.84584756136587,2.3017574474215508
5024;Place Monge;21;48.842761803051346,2.3524079471826553
9011;Geoffroy - Marie;20;48.873781940593325,2.344513876337893
21303;Jean Monnet - Iles;32;48.823393984057304,2.2497073194874866
13035;Choisy - Tolbiac;26;48.82591155587,2.3602393269539
14031;Didot - Place de Moro-Giafferi;22;48.8337,2.3215
33012;Landy - Heurtault;30;48.915096534520316,2.375951372087002
18039;Jardins d'Eole;20;48.8869703,2.3668488
14026;Plantes - Moulin Vert;45;48.83005755305626,2.3232302069664006
10032;Claude Vellefaux - Hôpital Saint-Louis;32;48.87285913900304,2.370071706985146
12156;Niger - Soult;24;48.84369906369085,2.410361237220498
32013;Saint-Denis - Université;24;48.94563430946964,2.3638297989964485
12002;Lacuée - Lyon;16;48.849268481958404,2.370458543300628
21953;Gare de Bellevue;20;48.8192404685572,2.2295309230685234
